"","pd_obs","pd_rand_mean","pd_rand_sd","pd_obs_z","pd_obs_c_upper","pd_obs_c_lower","pd_obs_q","pd_obs_p_upper","pd_obs_p_lower","pd_alt_obs","pd_alt_rand_mean","pd_alt_rand_sd","pd_alt_obs_z","pd_alt_obs_c_upper","pd_alt_obs_c_lower","pd_alt_obs_q","pd_alt_obs_p_upper","pd_alt_obs_p_lower","rpd_obs","rpd_rand_mean","rpd_rand_sd","rpd_obs_z","rpd_obs_c_upper","rpd_obs_c_lower","rpd_obs_q","rpd_obs_p_upper","rpd_obs_p_lower","pe_obs","pe_rand_mean","pe_rand_sd","pe_obs_z","pe_obs_c_upper","pe_obs_c_lower","pe_obs_q","pe_obs_p_upper","pe_obs_p_lower","pe_alt_obs","pe_alt_rand_mean","pe_alt_rand_sd","pe_alt_obs_z","pe_alt_obs_c_upper","pe_alt_obs_c_lower","pe_alt_obs_q","pe_alt_obs_p_upper","pe_alt_obs_p_lower","rpe_obs","rpe_rand_mean","rpe_rand_sd","rpe_obs_z","rpe_obs_c_upper","rpe_obs_c_lower","rpe_obs_q","rpe_obs_p_upper","rpe_obs_p_lower"
"30STG77",0.0641724393228256,0.0641724375363113,2.49974718017765e-09,0.714677998500211,811,98,999,0.811811811811812,0.0980980980980981,0.0380952380952381,0.0468373135039802,0.0227910208573179,-0.383575420490001,416,463,999,0.416416416416416,0.463463463463463,1.68452653222417,1.75637946114259,0.875170653617226,-0.0821016205484492,488,421,999,0.488488488488488,0.421421421421421,2.23372506980244e-05,5.25554380040308e-05,8.69830029879208e-05,-0.347403357759478,0,999,999,0,1,1.17102232262077e-05,5.1551588237962e-05,8.30357322483774e-05,-0.479809883443677,169,830,999,0.169169169169169,0.830830830830831,1.90749999095092,1.4796460072155,0.943096336518232,0.453669436692953,575,424,999,0.575575575575576,0.424424424424424
"30SWJ27",0.0641724381128954,0.0641724376795052,2.34953506689302e-09,0.184457819578299,276,704,999,0.276276276276276,0.704704704704705,0.0428571428571429,0.0470232136898803,0.0222176908295492,-0.187511423428248,519,397,999,0.519519519519519,0.397397397397397,1.49735688930089,1.73830834571049,0.870783487132784,-0.276706506232655,398,582,999,0.398398398398398,0.582582582582583,7.09895490862051e-05,4.83573419693017e-05,7.04416375918468e-05,0.321290189873765,894,105,999,0.894894894894895,0.105105105105105,5.9439430084547e-05,5.12289505442239e-05,7.71490052887684e-05,0.106423660416506,784,215,999,0.784784784784785,0.215215215215215,1.19431745871771,1.40040392632772,0.865906476356059,-0.238000838701742,517,482,999,0.517517517517518,0.482482482482482
"30TXK45",0.363605358973942,0.330706197392102,0.0351259913069979,0.936604501615462,850,149,999,0.850850850850851,0.149149149149149,0.285714285714286,0.288817388817389,0.0198712419848669,-0.15616050096246,389,509,999,0.389389389389389,0.509509509509509,1.2726187564088,1.14888869064105,0.134360915629471,0.92087840565897,828,171,999,0.828828828828829,0.171171171171171,0.00049724826802934,0.000706080215861924,0.00166008309802047,-0.125796080980284,485,514,999,0.485485485485485,0.514514514514514,0.000432394221531023,0.000739717564547245,0.000442455165900789,-0.694586404908498,135,864,999,0.135135135135135,0.864864864864865,1.14998823589428,0.920280605987574,0.50699887862202,0.453073250439978,782,217,999,0.782782782782783,0.217217217217217
"30STG78",0.145007485687532,0.14501208678949,0.0309847598051707,-0.000148495647118298,605,394,999,0.605605605605606,0.394394394394394,0.0714285714285714,0.106234806234806,0.0218641375863521,-1.59193266456397,51,890,999,0.051051051051051,0.890890890890891,2.03010479962545,1.43887730375762,0.476518188219812,1.24072388102655,858,141,999,0.858858858858859,0.141141141141141,7.93985587786005e-05,0.000141418715808905,0.000161658712580903,-0.383648713021059,294,705,999,0.294294294294294,0.705705705705706,4.25910886250426e-05,0.000154123124719075,0.000169131506264692,-0.659439737499198,16,983,999,0.016016016016016,0.983983983983984,1.86420590179318,1.08268798184488,0.651399262415377,1.19975254047792,905,94,999,0.905905905905906,0.0940940940940941
"30TXK46",0.128344877747601,0.11116747484419,0.0220002212426452,0.780783189130617,893,100,999,0.893893893893894,0.1001001001001,0.0523809523809524,0.0811001477668144,0.0223353324896006,-1.28581902235992,66,837,999,0.0660660660660661,0.837837837837838,2.4502203933633,1.50344350328528,0.568784916775395,1.66456047295621,949,44,999,0.94994994994995,0.044044044044044,7.87331357513534e-05,0.000111656211749715,0.000319586066165817,-0.103017870564105,701,298,999,0.701701701701702,0.298298298298298,3.65391709975151e-05,0.00010633497805761,0.000154225138096945,-0.452557915793346,142,857,999,0.142142142142142,0.857857857857858,2.15475977155332,1.16660821968986,0.748931148649533,1.3194157482237,876,123,999,0.876876876876877,0.123123123123123
"30STG79",0.064172432553861,0.064172437539727,2.42661539470799e-09,-2.05465848093219,2,899,999,0.002002002002002,0.8998998998999,0.0285714285714286,0.0477763477763478,0.0228322730223489,-0.841130411594187,183,714,999,0.183183183183183,0.714714714714715,2.24603513938514,1.72169711775524,0.873096100231779,0.600550181693287,714,187,999,0.714714714714715,0.187187187187187,3.14565502299339e-05,5.78648308931974e-05,0.000232628731885645,-0.11352114783588,552,447,999,0.552552552552553,0.447447447447447,1.15720978999398e-05,5.27807854200202e-05,9.44456629634782e-05,-0.43632165021718,98,901,999,0.0980980980980981,0.901901901901902,2.71831006805582,1.4378930927871,0.966687832792859,1.32454028263649,876,123,999,0.876876876876877,0.123123123123123
"30TXK47",0.0641724382295473,0.0641724375826313,2.42138200472582e-09,0.267168079161543,360,614,999,0.36036036036036,0.614614614614615,0.0523809523809524,0.0467562800896134,0.0222742981232115,0.252518497338313,618,354,999,0.618618618618619,0.354354354354354,1.22511018438227,1.73880462884003,0.849548980541328,-0.604667248415083,354,620,999,0.354354354354354,0.620620620620621,2.82612382692645e-05,5.64786698509633e-05,0.000127789266325721,-0.220812219938533,294,705,999,0.294294294294294,0.705705705705706,3.1657663184888e-05,5.59889823868909e-05,0.000126836294318125,-0.191832466667437,536,463,999,0.536536536536537,0.463463463463463,0.89271397273426,1.48117968191299,0.933792930012263,-0.630188653464108,379,620,999,0.379379379379379,0.620620620620621
"30TXK48",0.0641724382295473,0.0641724376219322,2.38747669732644e-09,0.254500924937691,361,600,999,0.361361361361361,0.600600600600601,0.0523809523809524,0.0471852805186138,0.0225361919664388,0.230547905789762,600,361,999,0.600600600600601,0.361361361361361,1.22511018438227,1.73980227676567,0.875578076146245,-0.587831178515528,361,600,999,0.361361361361361,0.600600600600601,2.82612382692645e-05,5.8193554263634e-05,0.000224646207512222,-0.133242026766649,279,720,999,0.279279279279279,0.720720720720721,3.1657663184888e-05,5.17257667673247e-05,8.05767678550505e-05,-0.249055703233681,519,480,999,0.519519519519519,0.48048048048048,0.89271397273426,1.4184077212379,0.895094029164816,-0.587305614131012,383,616,999,0.383383383383383,0.616616616616617
"30SWJ40",0.064172438287267,0.0641724376440725,2.37924100869215e-09,0.270335959311509,404,576,999,0.404404404404404,0.576576576576577,0.0809523809523809,0.047032747032747,0.0227764503624111,1.48924144807098,806,41,999,0.806806806806807,0.041041041041041,0.792718355313298,1.74907444611729,0.880949818353442,-1.08559655825969,54,926,999,0.0540540540540541,0.926926926926927,2.34306992049382e-05,5.51271265841525e-05,0.000100591408087227,-0.315100742517979,191,808,999,0.191191191191191,0.808808808808809,4.98996398496011e-05,5.46996837173915e-05,0.000189071063606178,-0.0253875118499813,696,303,999,0.696696696696697,0.303303303303303,0.469556479276383,1.4560859166139,0.966324952504833,-1.0209085823359,111,888,999,0.111111111111111,0.888888888888889
"30SWJ41",0.0641724381128954,0.0641724376898805,2.35079627469835e-09,0.179945332639695,263,714,999,0.263263263263263,0.714714714714715,0.0428571428571429,0.0471662138328805,0.0224185573413418,-0.192210003084869,525,392,999,0.525525525525526,0.392392392392392,1.49735688930089,1.73018844845081,0.856277887673218,-0.271911213055604,392,585,999,0.392392392392392,0.585585585585586,7.09895490862051e-05,5.46753029161898e-05,0.000116200747481262,0.140397084559599,876,123,999,0.876876876876877,0.123123123123123,5.9439430084547e-05,5.47101898668928e-05,0.0001146534541627,0.0412481268200007,788,211,999,0.788788788788789,0.211211211211211,1.19431745871771,1.44255932706494,0.93428934780922,-0.265701272233617,506,493,999,0.506506506506507,0.493493493493493
"30TUK46",0.234258070171079,0.243325627015418,0.0375808177907643,-0.24128152013147,437,562,999,0.437437437437437,0.562562562562563,0.176190476190476,0.190514323847657,0.0200902357833605,-0.712975587327083,184,719,999,0.184184184184184,0.71971971971972,1.32957283070072,1.29084642154887,0.243057619366784,0.159330159049274,581,418,999,0.581581581581582,0.418418418418418,0.000168824750928496,0.000376119647745499,0.000514789882924113,-0.402678653355666,179,820,999,0.179179179179179,0.820820820820821,0.00020055987547198,0.000374212392362902,0.000303791716297895,-0.571617024345193,158,841,999,0.158158158158158,0.841841841841842,0.841767330235912,1.01475898373896,0.568303886887014,-0.304399912607738,488,511,999,0.488488488488488,0.511511511511512
"30TUK47",0.139793960734574,0.175264445141629,0.0351008390080231,-1.01053095622435,194,805,999,0.194194194194194,0.805805805805806,0.147619047619048,0.12968682968683,0.0209934993241553,0.854179556029755,774,153,999,0.774774774774775,0.153153153153153,0.946991346911632,1.39421390909601,0.389341621547403,-1.14866363479696,106,893,999,0.106106106106106,0.893893893893894,8.08274261515146e-05,0.000244027579156385,0.0015554161167893,-0.104923789359821,95,904,999,0.0950950950950951,0.904904904904905,0.00012874211186749,0.000198830892310763,0.000224954577921739,-0.311568589049369,370,629,999,0.37037037037037,0.62962962962963,0.627824299128382,1.09904042573333,0.710753003077775,-0.662981548532954,202,797,999,0.202202202202202,0.797797797797798
"30TUK48",0.094804383878873,0.199969490332864,0.0378973971413931,-2.77499549801866,7,992,999,0.00700700700700701,0.992992992992993,0.142857142857143,0.151723151723152,0.0200205617183577,-0.442845160427205,249,673,999,0.249249249249249,0.673673673673674,0.663630687152111,1.34419801486542,0.329680121829333,-2.06432624429088,12,987,999,0.012012012012012,0.987987987987988,9.10678540792814e-05,0.000245139864148792,0.000340347969080206,-0.452689670768103,38,961,999,0.038038038038038,0.961961961961962,0.000188938754708667,0.000258427563498313,0.000221986047102915,-0.31303232656524,476,523,999,0.476476476476476,0.523523523523523,0.481996688396212,1.01528412182115,0.587754589635151,-0.907330104824839,91,908,999,0.0910910910910911,0.908908908908909
"30TUK49",0.140469917209023,0.147401278894904,0.0298287658260954,-0.232371722192304,521,477,999,0.521521521521522,0.477477477477477,0.104761904761905,0.107602840936174,0.0207962655680718,-0.136607996516027,353,565,999,0.353353353353353,0.565565565565566,1.34084920972249,1.43399157563963,0.447825804471067,-0.207987938585066,487,511,999,0.487487487487487,0.511511511511512,6.17797348293016e-05,0.000158358928344231,0.000304964465500726,-0.316689989951303,77,922,999,0.0770770770770771,0.922922922922923,6.5459062283181e-05,0.000151853190570603,0.000140265343806185,-0.615933529573769,139,860,999,0.139139139139139,0.860860860860861,0.943791931543987,1.10839417843464,0.642129778276705,-0.256337974750842,478,521,999,0.478478478478478,0.521521521521522
"30TVN55",0.0641724393409904,0.0641724375318909,2.46718243541769e-09,0.733265380574615,919,71,999,0.91991991991992,0.0710710710710711,0.0761904761904762,0.046341579674913,0.0221607295726579,1.34692751958812,792,173,999,0.792792792792793,0.173173173173173,0.842263266350499,1.75020400706843,0.844018286310225,-1.07573586431066,198,792,999,0.198198198198198,0.792792792792793,2.49853077680792e-05,4.6098164147829e-05,5.53608618964251e-05,-0.381367913296761,226,773,999,0.226226226226226,0.773773773773774,5.78549490564875e-05,4.85972819141315e-05,7.36522023145062e-05,0.125694369637779,762,237,999,0.762762762762763,0.237237237237237,0.431861200736421,1.46078916129259,0.899395043018493,-1.14402227201847,87,912,999,0.0870870870870871,0.912912912912913
"30TVN56",0.240676481887108,0.176748922903259,0.0352343481753763,1.81435338793994,943,56,999,0.943943943943944,0.0560560560560561,0.171428571428571,0.130277896944564,0.0206874235333368,1.98916382302008,978,8,999,0.978978978978979,0.00800800800800801,1.40394614434146,1.39714177855,0.38154712774547,0.0178336181736431,535,464,999,0.535535535535536,0.464464464464464,0.00015837066085287,0.000200581531179719,0.000410600110783241,-0.102802871256729,653,346,999,0.653653653653654,0.346346346346346,0.000213438727994207,0.000195750614460105,0.000175137097523001,0.10099581290468,749,250,999,0.74974974974975,0.25025025025025,0.741995898969042,1.05267679637276,0.634911431266945,-0.489329506611286,341,658,999,0.341341341341341,0.658658658658659
"30TVN57",0.240676481683125,0.174976888570897,0.0347700979681981,1.8895429392324,952,47,999,0.952952952952953,0.047047047047047,0.171428571428571,0.130754564087897,0.0203922439976164,1.99458222182063,980,13,999,0.980980980980981,0.013013013013013,1.40394614315156,1.37721202034763,0.377414795107525,0.0708348563715311,588,411,999,0.588588588588589,0.411411411411411,0.000196553452857801,0.000211358186298202,0.000382786512155503,-0.0386762149926174,710,289,999,0.710710710710711,0.289289289289289,0.00022865646957102,0.000212360713976896,0.000226454912499652,0.0719602653536998,774,225,999,0.774774774774775,0.225225225225225,0.859601537741543,1.05192959546777,0.61709420978022,-0.311667253845614,470,529,999,0.47047047047047,0.52952952952953
"30TVN58",0.176504043045659,0.146335722361756,0.0304333898929129,0.991290184565627,686,313,999,0.686686686686687,0.313313313313313,0.147619047619048,0.105948805948806,0.0215192686412809,1.9364153292043,977,10,999,0.977977977977978,0.01001001001001,1.19567254966414,1.4532974328104,0.472676450241359,-0.545034310498673,327,672,999,0.327327327327327,0.672672672672673,0.000164565023020031,0.000165147762690344,0.000287070079691526,-0.00202995613802361,746,253,999,0.746746746746747,0.253253253253253,0.000201777586014044,0.000161205958747985,0.000183844431572751,0.220684558781447,815,184,999,0.815815815815816,0.184184184184184,0.815576329714726,1.13074801634073,0.659276389935258,-0.478056990114496,377,622,999,0.377377377377377,0.622622622622623
"30SWJ39",0.0734059011755048,0.110151515171655,0.0220312958926791,-1.6678825510378,150,848,999,0.15015015015015,0.848848848848849,0.0952380952380952,0.0793841460508127,0.0227189148725309,0.697830388301304,641,265,999,0.641641641641642,0.265265265265265,0.770761962342801,1.52383698475325,0.567231136768694,-1.32763343475896,93,905,999,0.0930930930930931,0.905905905905906,3.70856996061721e-05,0.000108746453319476,0.000239412839174538,-0.299318758176796,80,919,999,0.0800800800800801,0.91991991991992,6.21664675080922e-05,0.000105444961905591,0.000138711836599121,-0.312002893614439,397,602,999,0.397397397397397,0.602602602602603,0.596554719814901,1.22892820804676,0.809781553209588,-0.780918614069972,201,798,999,0.201201201201201,0.798798798798799
